,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
31,475.0,France,Female,45,0,134264.04,1,1,0,27822.99,1
32,490.0,Spain,Male,31,3,145260.23,1,0,1,114066.77,0
33,804.0,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
34,850.0,France,Male,36,7,0.0,1,1,1,40812.9,0
35,582.0,Germany,Male,41,6,70349.48,2,0,1,178074.04,0
36,472.0,Spain,Male,40,4,0.0,1,1,0,70154.22,0
37,465.0,France,Female,51,8,122522.32,1,0,0,181297.65,1
38,556.0,France,Female,61,2,117419.35,1,1,1,94153.83,0
39,834.0,France,Female,49,2,131394.56,1,0,0,194365.76,1
40,660.0,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
41,776.0,Germany,Female,32,4,109421.13,2,1,1,126517.46,0
42,550.0,Germany,Male,38,2,103391.38,1,0,1,90878.13,0
43,776.0,Germany,Female,37,2,103769.22,2,1,0,194099.12,0
44,698.0,Germany,Male,44,10,116363.37,2,1,0,198059.16,0
45,585.0,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
46,788.0,France,Female,33,5,0.0,2,0,0,116978.19,0
47,655.0,Germany,Male,41,8,125561.97,1,0,0,164040.94,1
48,601.0,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
49,619.0,France,Male,43,1,125211.92,1,1,1,113410.49,0
50,656.0,France,Male,45,5,127864.4,1,1,0,87107.57,0
51,725.0,Germany,Male,19,0,75888.2,1,0,0,45613.75,0
52,511.0,Spain,Female,66,4,0.0,1,1,0,1643.11,1
53,614.0,France,Male,51,4,40685.92,1,1,1,46775.28,0
54,742.0,Germany,Male,35,5,136857.0,1,0,0,84509.57,0
55,687.0,Germany,Female,27,9,152328.88,2,0,0,126494.82,0
56,555.0,Spain,Male,33,1,56084.69,2,0,0,178798.13,0
57,684.0,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
58,603.0,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
59,751.0,Germany,Female,36,6,169831.46,2,1,1,27758.36,0
60,581.0,Germany,Female,34,1,101633.04,1,1,0,110431.51,0
61,735.0,Germany,Male,43,10,123180.01,2,1,1,196673.28,0
62,661.0,Germany,Female,35,5,150725.53,2,0,1,113656.85,0
63,675.0,France,Female,21,8,98373.26,1,1,0,18203.0,0
64,738.0,Germany,Male,58,2,133745.44,4,1,0,28373.86,1
65,813.0,France,Male,29,6,0.0,1,1,0,33953.87,0
66,657.0,Spain,Female,37,0,163607.18,1,0,1,44203.55,0
67,604.0,Germany,Female,25,5,157780.84,2,1,1,58426.81,0
68,519.0,France,Male,36,9,0.0,2,0,1,145562.4,0
69,735.0,France,Female,21,1,178718.19,2,1,0,22388.0,0
70,664.0,France,Male,55,8,0.0,2,1,1,139161.64,0
71,678.0,France,Female,32,9,0.0,1,1,1,148210.64,0
72,757.0,Spain,Male,33,5,77253.22,1,0,1,194239.63,0
73,416.0,Germany,Female,41,10,122189.66,2,1,0,98301.61,0
74,665.0,France,Female,34,1,96645.54,2,0,0,171413.66,0
75,777.0,France,Female,32,2,0.0,1,1,0,136458.19,1
76,543.0,France,Female,36,3,0.0,2,0,0,26019.59,0
77,506.0,France,Female,34,4,90307.62,1,1,1,159235.29,0
78,493.0,France,Female,46,4,0.0,2,1,0,1907.66,0
79,750.0,Spain,Male,22,3,121681.82,1,1,0,128643.35,1
80,646.0,France,Female,46,4,0.0,3,1,0,93251.42,1
81,635.0,Germany,Female,28,3,81623.67,2,1,1,156791.36,0
82,647.0,Spain,Female,44,5,0.0,3,1,1,174205.22,1
83,808.0,France,Male,45,7,118626.55,2,1,0,147132.46,0
84,524.0,France,Female,36,10,0.0,2,1,0,109614.57,0
85,769.0,France,Male,29,8,0.0,2,1,1,172290.61,0
86,730.0,Spain,Male,42,4,0.0,2,0,1,85982.47,0
87,773.0,Spain,Male,41,9,102827.44,1,0,1,64595.25,0
88,814.0,Germany,Male,29,8,97086.4,2,1,1,197276.13,0
89,413.0,France,Male,34,9,0.0,2,0,0,6534.18,0
90,665.0,France,Female,40,6,0.0,1,1,1,161848.03,0
91,623.0,France,Female,44,6,0.0,2,0,0,167162.43,0
92,528.0,Spain,Male,36,7,0.0,2,1,0,60536.56,0
93,670.0,Spain,Female,65,1,0.0,1,1,1,177655.68,1
94,622.0,Spain,Female,46,4,107073.27,2,1,1,30984.59,1
95,582.0,Germany,Male,32,1,88938.62,1,1,1,10054.53,0
96,785.0,Germany,Female,36,2,99806.85,1,0,1,36976.52,0
97,605.0,Spain,Male,33,5,150092.8,1,0,0,71862.79,0
98,479.0,Germany,Male,35,9,92833.89,1,1,0,99449.86,1
99,685.0,Germany,Male,30,3,90536.81,1,0,1,63082.88,0
100,538.0,Germany,Male,39,7,108055.1,2,1,0,27231.26,0
101,562.0,France,Male,42,2,100238.35,1,0,0,86797.41,0
102,675.0,Spain,Male,36,9,106190.55,1,0,1,22994.32,0
103,721.0,Germany,Male,28,9,154475.54,2,0,1,101300.94,1
104,628.0,Germany,Female,30,9,132351.29,2,1,1,74169.13,0
105,668.0,Germany,Female,37,6,167864.4,1,1,0,115638.29,0
106,524.0,Germany,Female,31,8,107818.63,1,1,0,199725.39,1
107,699.0,Germany,Male,34,4,185173.81,2,1,0,120834.48,0
108,828.0,France,Male,34,8,129433.34,2,0,0,38131.77,0
109,674.0,Spain,Male,39,6,120193.42,1,0,0,100130.95,0
110,656.0,France,Female,39,6,0.0,2,1,0,141069.88,0
111,684.0,Germany,Female,48,10,126384.42,1,1,1,198129.36,0
112,625.0,France,Female,28,3,0.0,1,0,0,183646.41,0
113,432.0,France,Male,42,9,152603.45,1,1,0,110265.24,1
114,549.0,France,Female,52,1,0.0,1,0,1,8636.05,1
115,625.0,Germany,Male,56,0,148507.24,1,1,0,46824.08,1
116,828.0,France,Female,41,7,0.0,2,1,0,171378.77,0
117,770.0,France,Male,24,9,101827.07,1,1,0,167256.35,0
118,758.0,France,Female,34,3,0.0,2,1,1,124226.16,0
119,687.0,France,Male,38,9,122570.87,1,1,1,35608.88,0
120,686.0,France,Male,25,1,0.0,2,0,1,16459.37,0
121,789.0,Germany,Male,39,7,124828.46,2,1,1,124411.08,0
122,589.0,Germany,Female,50,5,144895.05,2,1,1,34941.23,0
123,461.0,Germany,Female,34,5,63663.93,1,0,1,167784.28,0
124,637.0,France,Male,40,2,133463.1,1,0,1,93165.34,0
125,584.0,Spain,Female,48,2,213146.2,1,1,0,75161.25,1
126,579.0,Spain,Female,35,1,129490.36,2,0,1,8590.83,1
127,756.0,Germany,Male,44,10,137452.09,1,1,0,189543.9,0
128,663.0,France,Male,34,7,0.0,2,1,1,180427.24,0
129,682.0,France,Female,43,5,125851.93,1,1,1,193318.33,0
130,793.0,Spain,Male,52,2,0.0,1,1,0,159123.82,1
131,691.0,France,Female,31,5,40915.55,1,1,0,126213.84,1
132,485.0,Spain,Female,21,5,113157.22,1,1,1,54141.5,0
133,635.0,Spain,Female,29,8,138296.94,2,1,0,141075.51,0
134,735.0,France,Male,44,9,120681.63,1,1,0,74836.34,0
135,754.0,Spain,Female,32,7,0.0,2,1,0,89520.75,0
136,535.0,France,Female,48,9,0.0,1,1,0,149892.79,1
137,716.0,Spain,Male,42,8,0.0,2,1,0,180800.42,0
138,539.0,France,Male,37,2,127609.59,1,1,0,98646.22,0
139,706.0,Spain,Male,57,7,0.0,1,1,0,17941.16,1
140,758.0,France,Female,33,7,0.0,2,0,0,82996.47,0
141,586.0,Spain,Female,28,2,0.0,2,1,1,92067.35,0
142,646.0,France,Female,73,6,97259.25,1,0,1,104719.66,0
143,631.0,Germany,Female,33,4,123246.7,1,0,0,112687.57,0
144,717.0,Spain,Female,22,6,101060.25,1,0,1,84699.56,0
145,684.0,France,Male,30,2,0.0,2,1,0,83473.82,0
146,800.0,France,Female,49,7,108007.36,1,0,0,47125.11,0
147,721.0,Spain,Female,36,2,0.0,2,1,1,106977.8,0
148,683.0,Spain,Male,29,0,133702.89,1,1,0,55582.54,1
149,660.0,Germany,Male,31,9,125189.75,2,1,1,139874.43,0
150,704.0,Germany,Female,24,7,113034.22,1,1,0,162503.48,1
151,615.0,Spain,Female,41,9,109013.23,1,1,0,196499.96,0
152,682.0,Germany,Male,24,9,57929.81,2,0,0,53134.3,0
153,484.0,France,Female,29,4,130114.39,1,1,0,164017.89,0
154,628.0,Germany,Male,27,5,95826.49,2,1,0,155996.96,0
155,480.0,Germany,Male,44,10,129608.57,1,1,0,5472.7,1
156,578.0,France,Male,30,4,169462.09,1,1,0,112187.11,0
157,512.0,France,Male,40,5,0.0,2,1,1,146457.83,0
158,484.0,Spain,Female,35,7,133868.21,1,1,1,27286.1,0
159,510.0,France,Female,30,0,0.0,2,1,1,130553.47,0
160,597.0,Spain,Female,40,8,101993.12,1,0,1,94774.12,0
161,850.0,Spain,Female,45,2,122311.21,1,1,1,19482.5,0
162,510.0,France,Male,65,2,0.0,2,1,1,48071.61,0
163,778.0,Germany,Female,45,1,162150.42,2,1,0,174531.27,0
164,636.0,France,Male,42,2,0.0,2,1,1,55470.78,0
165,804.0,France,Female,50,4,0.0,1,1,1,8546.87,1
166,514.0,France,Male,32,8,0.0,2,1,0,95857.18,0
167,730.0,France,Female,39,1,99010.67,1,1,0,194945.8,0
168,525.0,Spain,Female,37,0,0.0,1,0,1,131521.72,0
169,616.0,Spain,Male,30,5,0.0,2,0,1,196108.51,0
170,687.0,Germany,Female,34,7,111388.18,2,1,0,148564.76,0
171,715.0,France,Female,41,8,56214.85,2,0,0,92982.61,1
172,512.0,France,Female,36,3,84327.77,2,1,0,17675.36,0
173,479.0,France,Male,40,1,0.0,2,0,0,114996.43,0
174,601.0,France,Male,32,8,93012.89,1,1,0,86957.42,0
175,580.0,Spain,Male,29,9,61710.44,2,1,0,128077.8,0
176,807.0,France,Male,35,3,174790.15,1,1,1,600.36,0
177,616.0,Spain,Female,32,6,0.0,2,1,1,43001.46,0
178,721.0,Germany,Male,37,3,107720.64,1,1,1,158591.12,0
179,501.0,France,Male,57,10,0.0,2,1,1,47847.19,0
180,521.0,France,Male,35,6,96423.84,1,1,0,10488.44,0
181,850.0,Spain,Male,30,2,141040.01,1,1,1,5978.2,0
182,759.0,France,Male,42,4,105420.18,1,0,1,121409.06,0
183,516.0,Spain,Male,50,5,0.0,1,0,1,146145.93,1
184,711.0,France,Female,38,2,129022.06,2,1,1,14374.86,1
185,512.0,Spain,Male,33,3,176666.62,1,1,0,94670.77,0
186,608.0,Spain,Female,41,3,89763.84,1,0,0,199304.74,1
187,618.0,France,Male,34,5,134954.53,1,1,1,151954.39,0
188,643.0,France,Male,45,5,0.0,1,1,0,142513.5,1
189,671.0,France,Male,45,2,106376.85,1,0,1,158264.62,0
190,689.0,Germany,Male,33,2,161814.64,2,1,0,169381.9,0
191,603.0,France,Male,31,8,0.0,2,1,1,169915.02,0
192,620.0,France,Female,41,9,0.0,2,0,0,88852.47,0
193,676.0,France,Female,34,1,63095.01,1,1,1,40645.81,0
194,572.0,Germany,Male,26,4,118287.01,2,0,0,60427.3,0
195,668.0,Germany,Male,47,7,106854.21,1,0,1,157959.02,1
196,695.0,France,Male,46,7,49512.55,1,1,0,133007.34,0
197,730.0,Spain,Female,33,9,0.0,2,0,0,176576.62,0
198,807.0,France,Male,43,1,105799.32,2,1,0,34888.04,1
199,592.0,France,Male,54,8,0.0,1,1,1,28737.71,1
200,726.0,France,Female,31,9,114722.05,2,1,1,98178.57,0
201,514.0,Spain,Male,30,7,0.0,1,0,1,125010.24,0
202,567.0,France,Male,42,2,0.0,2,1,1,167984.61,0
203,850.0,France,Male,33,10,0.0,1,1,0,4861.72,1
204,671.0,Germany,Male,45,6,99564.22,1,1,1,108872.45,1
205,670.0,France,Male,37,4,170557.91,2,1,0,198252.88,0
206,694.0,France,Female,30,9,0.0,2,1,1,26960.31,0
207,751.0,Germany,Male,50,2,96888.39,1,1,0,77206.25,1
208,673.0,France,Male,72,1,0.0,2,0,1,111981.19,0
209,610.0,France,Male,40,0,0.0,2,1,0,62232.6,0
210,767.0,Germany,Male,20,3,119714.25,2,0,1,150135.38,0
211,585.0,France,Female,67,5,113978.97,2,0,1,93146.11,0
212,763.0,Germany,Male,42,6,100160.75,1,1,0,33462.94,1
213,712.0,France,Female,29,2,0.0,1,1,1,144375.0,0
214,539.0,Germany,Female,43,3,116220.5,3,1,0,55803.96,1
215,668.0,France,Female,46,2,0.0,3,1,0,89048.46,1
216,703.0,France,Male,28,2,81173.83,2,0,1,162812.16,0
217,662.0,Spain,Male,38,4,0.0,2,1,0,136259.65,0
218,725.0,Germany,Female,39,5,116803.8,1,1,0,124052.97,0
219,703.0,France,Male,37,8,105961.68,2,0,1,74158.8,0
220,659.0,Germany,Male,67,6,117411.6,1,1,1,45071.09,1
221,635.0,France,Female,40,10,123497.58,1,1,0,131953.23,1
222,772.0,Germany,Male,26,7,152400.51,2,1,0,79414.0,0
223,545.0,France,Female,26,1,0.0,2,1,1,199638.56,0
224,634.0,Germany,Male,24,8,103097.85,1,1,1,157577.29,0
225,739.0,Germany,Male,54,8,126418.14,1,1,0,134420.75,1
226,771.0,Germany,Female,36,5,77846.9,1,0,0,99805.99,0
227,587.0,Spain,Female,34,1,0.0,2,1,1,97932.68,0
228,681.0,France,Female,79,0,0.0,2,0,1,170968.99,0
229,544.0,Germany,Male,37,2,79731.91,1,1,1,57558.95,0
230,696.0,Spain,Male,28,8,0.0,1,0,0,176713.47,0
231,766.0,Spain,Male,41,0,0.0,2,0,1,34283.23,0
232,671.0,Germany,Female,34,6,37266.67,2,0,0,156917.12,0
233,850.0,Germany,Male,38,3,54901.01,1,1,1,140075.55,0
234,732.0,Germany,Male,42,9,108748.08,2,1,1,65323.11,0
235,726.0,Spain,Female,48,6,99906.19,1,1,0,64323.24,0
236,557.0,France,Female,32,6,184686.41,2,1,0,14956.44,0
237,682.0,France,Female,26,0,110654.02,1,0,1,111879.21,0
238,738.0,Spain,Male,31,9,79019.8,1,1,1,18606.23,0
239,531.0,Spain,Female,36,9,99240.51,1,1,0,123137.01,0
240,498.0,France,Male,34,2,0.0,2,1,1,148528.24,0
241,651.0,France,Male,36,7,0.0,2,1,0,13898.31,0
242,549.0,Spain,Female,39,7,0.0,1,0,0,81259.25,1
243,791.0,Germany,Female,35,7,52436.2,1,1,0,161051.75,0
244,650.0,Spain,Male,41,9,0.0,2,0,1,191599.67,0
245,811.0,Germany,Female,34,1,149297.19,2,1,1,186339.74,0
246,707.0,France,Male,30,8,0.0,2,1,0,33159.37,0
247,712.0,Germany,Male,28,4,145605.44,1,0,1,93883.53,0
248,706.0,Spain,Female,37,7,0.0,2,1,1,110899.3,0
249,756.0,France,Male,62,3,0.0,1,1,1,11199.04,1
250,777.0,France,Female,53,10,0.0,2,1,0,189992.97,0
251,646.0,France,Male,35,6,84026.86,1,0,1,164255.69,0
252,714.0,France,Male,46,1,0.0,1,1,0,152167.79,1
253,782.0,France,Male,39,8,0.0,2,1,1,33949.67,0
254,479.0,Germany,Male,35,4,138718.92,1,1,1,47251.79,1
255,807.0,France,Male,42,7,118274.71,1,1,1,25885.72,0
256,799.0,France,Female,22,8,174185.98,2,0,1,192633.85,0
257,675.0,France,Male,40,7,113208.86,2,1,0,34577.36,0
258,602.0,Spain,Male,29,5,103907.28,1,1,0,161229.84,0
259,475.0,France,Female,32,8,119023.28,1,1,0,100816.29,0
260,744.0,Spain,Female,26,5,166297.89,1,1,1,181694.44,0
261,588.0,Spain,Male,34,10,0.0,2,1,0,79078.91,0
262,750.0,Spain,Female,34,9,112822.26,1,0,0,150401.53,1
263,681.0,France,Male,38,3,0.0,2,1,1,112491.96,0
264,773.0,France,Male,25,2,135903.33,1,1,0,73656.38,0
265,714.0,France,Female,31,4,125169.26,1,1,1,106636.89,0
266,687.0,Spain,Female,44,7,0.0,3,1,0,155853.52,1
267,511.0,France,Male,58,0,149117.31,1,1,1,162599.51,0
268,627.0,France,Male,33,5,0.0,2,1,1,103737.82,0
269,694.0,France,Female,31,10,0.0,2,1,0,160990.27,0
270,616.0,Spain,Female,36,6,132311.71,1,0,0,15462.84,0
271,687.0,France,Male,35,8,0.0,2,1,0,10334.05,0
272,712.0,France,Female,33,6,0.0,2,1,1,190686.16,0
273,553.0,France,Male,33,4,118082.89,1,0,0,94440.45,0
274,667.0,France,Male,31,1,119266.69,1,1,1,28257.63,0
275,731.0,France,Male,43,2,0.0,1,1,1,170034.95,1
276,629.0,Germany,Male,35,7,156847.29,2,1,0,31824.29,0
277,652.0,France,Female,80,4,0.0,2,1,1,188603.07,0
278,729.0,Germany,Male,30,6,63669.42,1,1,0,145111.37,0
279,642.0,France,Male,38,3,0.0,2,0,0,171463.83,0
280,806.0,Germany,Female,59,0,135296.33,1,1,0,182822.5,0
281,744.0,Spain,Male,36,2,153804.44,1,1,1,87213.33,0
282,474.0,Spain,Male,37,3,0.0,2,0,0,57175.32,0
283,559.0,France,Male,49,2,147069.78,1,1,0,120540.83,1
284,706.0,Spain,Male,42,9,0.0,2,1,1,28714.34,0
285,628.0,Spain,Female,22,3,0.0,1,1,0,85426.28,0
286,429.0,France,Male,24,4,95741.75,1,1,0,46170.75,0
287,525.0,Spain,Female,57,2,145965.33,1,1,1,64448.36,0
288,680.0,France,Female,30,8,141441.75,1,1,1,16278.97,0
289,749.0,France,Male,40,1,139290.41,1,1,0,182855.42,1
290,763.0,France,Female,31,4,0.0,2,0,0,50404.72,0
291,734.0,France,Male,30,3,0.0,2,1,0,107640.25,0
292,716.0,France,Male,35,4,144428.87,1,1,0,134132.65,0
293,594.0,France,Male,35,2,0.0,2,1,0,103480.69,0
294,644.0,France,Female,46,9,95441.27,1,1,0,108761.05,1
295,671.0,Germany,Male,35,1,144848.74,1,1,1,179012.3,0
296,664.0,Germany,Male,26,7,116244.14,2,1,1,95145.14,0
297,656.0,France,Male,50,7,0.0,2,0,1,72143.44,0
298,667.0,Spain,Female,40,1,146502.07,1,1,0,19162.89,0
299,663.0,Germany,Male,44,2,117028.6,2,0,1,144680.18,0
300,584.0,Germany,Female,30,8,112013.81,1,1,0,177772.03,1
301,626.0,Spain,Female,37,6,108269.37,1,1,0,5597.94,0
302,485.0,France,Male,29,7,182123.79,1,1,0,116828.51,1
303,659.0,Germany,Female,32,3,150923.74,2,0,1,174652.51,0
304,649.0,France,Male,33,2,0.0,2,1,0,2010.98,0
305,805.0,Spain,Female,39,5,165272.13,1,1,0,14109.85,1
306,716.0,Germany,Female,39,10,115301.31,1,1,0,43527.4,1
307,642.0,Germany,Female,40,6,129502.49,2,0,1,86099.23,1
308,659.0,France,Male,31,4,118342.26,1,0,0,161574.19,0
309,545.0,Spain,Female,47,5,0.0,2,1,1,38970.14,0
310,543.0,France,Male,22,8,0.0,2,0,0,127587.22,0
311,718.0,France,Female,25,7,0.0,2,1,0,30380.12,0
312,840.0,France,Female,43,7,0.0,2,1,0,90908.95,0
313,630.0,Germany,Female,34,9,106937.05,2,1,0,138275.01,0
314,643.0,Germany,Male,59,3,170331.37,1,1,1,32171.79,0
315,654.0,Germany,Female,32,1,114510.85,1,1,1,126143.23,0
316,582.0,France,Male,39,5,0.0,2,1,1,129892.93,0
317,659.0,Spain,Male,32,3,107594.11,2,1,1,102416.84,0
318,762.0,Spain,Male,39,2,81273.13,1,1,1,18719.67,0
319,568.0,Spain,Female,32,7,169399.6,1,1,0,61936.22,0
320,670.0,Spain,Male,25,6,0.0,2,1,1,78358.94,0
321,613.0,France,Female,45,1,187841.99,2,1,1,147224.27,0
322,539.0,France,Male,30,0,0.0,2,1,0,160979.66,0
323,850.0,Spain,Female,57,8,126776.3,2,1,1,132298.49,0
324,522.0,Spain,Male,34,9,126436.29,1,1,0,174248.52,1
325,520.0,France,Male,58,3,0.0,2,0,1,32790.02,0
326,706.0,Spain,Male,28,3,0.0,2,0,1,181543.67,0
327,643.0,Germany,Female,45,2,150842.93,1,0,1,2319.96,1
328,648.0,France,Female,50,9,102535.57,1,1,1,189543.19,0
329,443.0,Germany,Female,29,9,99027.61,2,1,0,10940.4,0
330,640.0,France,Male,68,9,0.0,2,1,1,199493.38,0
331,628.0,Spain,Female,33,3,0.0,1,1,1,188193.25,0
332,540.0,Germany,Female,42,9,87271.41,2,1,0,172572.64,0
333,460.0,Germany,Female,35,8,102742.91,2,1,1,189339.6,0
334,636.0,Germany,Male,34,2,40105.51,2,0,1,53512.16,0
335,593.0,France,Female,29,2,152265.43,1,1,0,34004.44,0
336,611.0,Germany,Male,31,0,107884.81,2,1,1,183487.98,0
337,802.0,Germany,Male,31,1,125013.72,1,1,1,187658.09,0
338,717.0,Germany,Male,35,7,58469.37,2,1,1,172459.39,0
339,769.0,France,Female,39,8,0.0,1,0,1,21016.0,0
340,745.0,Germany,Male,45,10,117231.63,3,1,1,122381.02,1
341,572.0,Spain,Male,35,4,152390.26,1,1,0,128123.66,0
342,629.0,Spain,Female,30,2,34013.63,1,1,0,19570.63,0
343,687.0,Spain,Female,39,2,0.0,3,0,0,188150.6,1
344,483.0,France,Female,50,9,0.0,2,1,1,111020.24,0
345,690.0,France,Male,36,7,101583.11,2,1,0,123775.15,0
346,492.0,Germany,Female,30,10,77168.87,2,0,1,146700.22,0
347,709.0,Germany,Male,28,8,124695.72,2,1,0,145251.35,0
348,705.0,Germany,Male,44,3,105934.96,1,1,0,82463.69,0
349,611.0,Spain,Male,46,6,0.0,2,1,0,45886.33,0
350,730.0,Spain,Male,62,2,0.0,2,1,1,186489.95,0
351,544.0,France,Female,21,10,161525.96,2,1,0,9262.77,0
352,712.0,Germany,Female,29,7,147199.07,1,1,1,84932.4,0
353,752.0,Germany,Male,38,3,183102.29,1,1,1,71557.12,0
354,648.0,Spain,Male,46,9,127209.0,2,1,0,77405.95,1
355,556.0,Spain,Male,38,8,0.0,2,0,0,417.41,1
356,594.0,Spain,Female,24,0,97378.54,1,1,1,71405.17,0
357,645.0,Germany,Female,37,2,136925.09,2,0,1,153400.24,0
358,557.0,France,Male,33,3,54503.55,1,1,1,371.05,0
359,547.0,Germany,Male,32,8,155726.85,1,1,0,67789.99,0
360,701.0,France,Female,39,9,0.0,2,0,1,145894.9,0
361,616.0,France,Female,66,1,135842.41,1,1,0,183840.51,1
362,605.0,France,Male,52,1,63349.75,1,1,0,108887.44,0
363,593.0,Germany,Female,38,4,129499.42,1,1,1,154071.27,0
364,751.0,Spain,Male,52,8,0.0,2,0,1,179291.85,0
365,443.0,Spain,Male,36,6,70438.01,2,0,1,56937.43,0
366,685.0,France,Male,23,8,0.0,2,1,1,112239.03,0
367,718.0,France,Male,36,9,0.0,1,1,0,45909.87,0
368,538.0,Spain,Female,49,9,141434.04,1,0,0,173779.25,1
369,668.0,Germany,Male,37,10,152958.29,2,1,1,159585.61,0
370,537.0,Germany,Female,41,3,138306.34,1,1,0,106761.47,0
371,709.0,Spain,Male,23,10,0.0,2,0,0,129590.18,0
372,850.0,France,Male,38,1,0.0,2,1,1,80006.65,0
373,745.0,Spain,Female,31,3,124328.84,1,1,1,140451.52,0
374,693.0,Germany,Female,41,9,181461.48,3,1,1,187929.43,1
375,795.0,Spain,Male,35,8,0.0,2,1,0,167155.36,0
376,626.0,Spain,Male,26,8,0.0,2,0,0,191420.71,0
377,487.0,Germany,Female,61,5,110368.03,1,0,0,11384.45,1
378,556.0,France,Female,39,9,89588.35,1,1,1,94898.1,0
379,643.0,France,Female,46,6,0.0,2,0,0,106781.59,0
380,605.0,France,Female,28,6,0.0,2,0,0,159508.52,0
381,756.0,Germany,Female,60,3,115924.89,1,1,0,93524.19,1
382,586.0,France,Female,38,2,0.0,2,1,0,87168.46,0
383,535.0,Germany,Male,40,7,111756.5,1,1,0,8128.32,1
384,678.0,France,Female,35,4,0.0,1,1,0,125518.32,0
385,596.0,France,Male,39,9,0.0,1,1,0,48963.59,0
386,492.0,Germany,Male,39,10,124576.65,2,1,0,148584.61,0
387,619.0,Germany,Male,57,3,137946.39,1,1,1,72467.99,1
388,548.0,Germany,Female,33,0,101084.36,1,1,0,42749.85,0
389,545.0,Germany,Female,37,8,114754.08,1,1,0,136050.44,1
390,683.0,France,Male,33,8,0.0,1,0,0,73564.44,0
391,627.0,Germany,Female,30,4,79871.02,2,1,0,129826.89,0
392,516.0,France,Male,35,10,104088.59,2,0,0,119666.0,0
393,800.0,France,Female,38,2,168190.33,2,1,0,68052.08,0
394,464.0,Germany,Female,42,3,85679.25,1,1,1,164104.74,0
395,626.0,France,Female,35,3,0.0,1,0,0,80190.36,0
396,790.0,France,Female,31,9,0.0,2,1,0,84126.75,0
397,534.0,France,Female,34,7,121551.58,2,1,1,70179.0,0
398,745.0,France,Male,46,2,122220.19,1,1,1,118024.1,0
399,553.0,Spain,Male,47,3,116528.15,1,0,0,145704.19,1
400,748.0,France,Female,26,1,77780.29,1,0,1,183049.41,0
401,722.0,France,Male,37,2,0.0,1,0,0,120906.83,0
402,501.0,France,Male,40,4,125832.2,1,1,1,100433.83,0
403,675.0,France,Female,38,6,68065.8,1,0,0,138777.0,1
404,778.0,Spain,Female,47,6,127299.34,2,1,0,124694.99,0
405,494.0,Germany,Female,38,7,174937.64,1,1,0,40084.32,0
406,592.0,Spain,Male,31,7,110071.1,1,0,0,43921.36,0
407,590.0,Spain,Female,44,3,139432.37,1,1,0,62222.81,0
408,758.0,France,Female,39,6,127357.76,1,0,1,56577.0,0
409,506.0,France,Male,36,5,0.0,2,1,0,164253.35,0
410,733.0,France,Male,33,3,0.0,1,1,1,7666.73,0
411,711.0,France,Male,38,3,0.0,2,1,0,68487.51,0
